,maximum_x,minimum_x,entropy_x,interquartile_range_x,maximum_y,minimum_index_y,mean_absolute_deviation_y,median_y,skewness_y,standard_deviation_y,RMS_y,skewness_z,activity
518,0.076614,-2.901772,4.0980685120588385,0.0430959999999999,0.272939,15.0,0.21573347999999995,-0.110133,0.5810972875577088,0.3658674795980461,0.3679683915045784,-0.5924125707237329,idle
519,3.131616,-1.015141,4.7068905956085185,0.359131,7.321469,17.0,2.9481244133333333,5.1642935,-1.7617024378434702,3.03416467229464,4.543968929846175,0.32491066311093997,idle
520,3.131616,-1.015141,4.548394345536403,0.24899699999999997,7.321469,15.0,2.9855696999999997,3.2417495,-0.27892633543816747,3.043758484355104,4.24484335233419,-0.9790212978241115,idle
521,3.131616,-1.015141,4.440223928941852,0.07661400000000002,7.321469,13.0,2.939196682222222,-0.03830699999999995,2.579152938929353,3.0208410607996963,3.958882504092381,-2.0794498026194317,idle
522,3.131616,-1.015141,4.348394345536403,0.07661400000000002,7.244855,11.0,2.7017982533333336,-0.071826,2.2795245187495414,2.8469637183635177,3.532593941067847,-1.7983581267430369,idle
523,3.131616,-1.015141,4.148394345536404,0.07182600000000003,7.244855,9.0,2.5107515933333335,-0.0766145,1.9717255023430962,2.776543790448666,3.2810913295187674,-1.5597500523081647,idle
524,3.131616,-0.3734949999999999,4.148394345536403,0.07661400000000002,7.244855,7.0,2.2235644622222224,-0.08858549999999996,1.629777444008966,2.6492598212546175,2.973689742035664,-1.2839051081696906,idle
525,3.131616,-0.3734949999999999,4.0402239289418524,0.04788400000000001,7.244855,5.0,1.788053813333333,-0.0909799999999999,1.320994570333806,2.384787924755772,2.5704317616346546,-1.020547119137387,idle
526,3.131616,-0.3734949999999999,4.0402239289418524,0.033518999999999965,7.244855,3.0,1.2226603955555555,-0.0909799999999999,0.9780277825665198,1.9716119872789488,2.047368836711866,-0.6571221916065311,idle
527,3.131616,-0.3734949999999999,3.9735572622751856,0.03830699999999998,5.530606,1.0,0.4598995777777778,-0.0933739999999999,0.5318761910919321,1.0713404915346345,1.0756837236596855,-0.11245182135748849,idle
528,1.010353,-0.3734949999999999,3.9735572622751856,0.03830699999999998,1.56102,21.0,0.11741171111111111,-0.0909799999999999,0.2721687570835831,0.33252163462761675,0.33803671090953025,-0.6182503524094154,idle
529,0.076614,-2.901772,4.2817276788697365,0.057461,0.272939,13.0,0.22250109999999995,0.031124999999999948,-0.3700550292596808,0.36878380027159086,0.3690634734578412,-0.5860803180350633,idle
530,1.010353,-0.3734949999999999,4.081727678869736,0.03830699999999998,0.033519,19.0,0.06082336,-0.0933739999999999,-0.4952773258709439,0.14115364533812086,0.18313374146508335,-0.4571697387361662,idle
531,1.010353,-0.3734949999999999,4.081727678869736,0.03351899999999999,0.033519,17.0,0.06056797333333335,-0.0933739999999999,-0.5163611844874063,0.14095424324400457,0.18359225321483472,-0.4269780663244721,idle
532,1.010353,-0.3734949999999999,4.01506101220307,0.028729999999999978,0.033519,15.0,0.06044028444444444,-0.0909799999999999,-0.5799498580312747,0.14036006539656817,0.18344440358212072,-0.36488353686125785,idle
533,1.010353,-0.3734949999999999,3.961406329721843,0.033518999999999965,0.033519,13.0,0.060780793333333354,-0.0909799999999999,-0.5305846524628245,0.14078450941479873,0.182341179414397,-0.33470027364006666,idle
534,1.010353,-0.3734949999999999,4.028072996388509,0.033518999999999965,0.033519,11.0,0.060653106666666685,-0.0909799999999999,-0.5445686319175347,0.14068639930696927,0.18267200296378205,-0.2927248364070758,idle
535,1.010353,-0.3734949999999999,4.081727678869736,0.03830699999999998,0.033519,9.0,0.06062118666666667,-0.0909799999999999,-0.5480534329553375,0.14066548143725005,0.18275774494869793,-0.24939058085500376,idle
